RA,DEC,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
7.739,-38.612,0,2,0,0,0,0,0,0,0,0,0,0,0
13.987,-47.372,0,2,0,0,0,0,0,0,0,0,0,0,0
25.877,-17.475,0,0,1,0,0,0,0,0,0,0,0,0,0
48.885,-87.476,0,0,0,0,0,0,0,0,0,0,0,3,3
49.207,-58.524,0,3,3,3,0,0,0,0,0,0,0,0,0
52.481,-33.991,0,0,0,2,0,0,0,0,0,0,0,0,0
52.574,-23.023,0,0,0,2,0,0,0,0,0,0,0,0,0
54.503,-26.938,0,0,0,2,0,0,0,0,0,0,0,0,0
56.808,-29.374,0,0,0,2,0,0,0,0,0,0,0,0,0
64.739,15.248,0,0,0,0,1,0,0,0,0,0,0,0,0
65.543,2.196,0,0,0,0,1,0,0,0,0,0,0,0,0
76.894,-25.124,0,0,0,0,2,0,0,0,0,0,0,0,0
91.038,-4.592,0,0,0,0,0,1,0,0,0,0,0,0,0
125.949,6.194,0,0,0,0,0,0,1,0,0,0,0,0,0
152.35,-29.698,0,0,0,0,0,0,0,0,2,0,0,0,0
167.575,-45.327,0,0,0,0,0,0,0,0,0,2,0,0,0
169.698,-48.344,0,0,0,0,0,0,0,0,0,2,0,0,0
211.545,-43.082,0,0,0,0,0,0,0,0,0,0,1,0,0
214.528,-60.268,0,0,0,0,0,0,0,0,0,0,2,0,0
231.273,-35.307,0,0,0,0,0,0,0,0,0,0,1,0,0
253.574,-54.037,0,0,0,0,0,0,0,0,0,0,0,2,0
276.939,-53.643,0,0,0,0,0,0,0,0,0,0,0,0,2
315.212,-64.45,0,0,0,0,0,0,0,0,0,0,0,0,2
346.639,-63.066,2,0,0,0,0,0,0,0,0,0,0,0,0
357.514,-57.954,2,2,0,0,0,0,0,0,0,0,0,0,0
